Category,Count,Mean,Median,Mode,Variance,Std Dev,Min,Max
Kharif,95951,2.260043072081103,0.8,1.0,53.66124209832669,7.325383409646671,0.0,370.0
Whole Year,57305,168.41029136381138,2.7596439169139466,0.0,2805686.0128828282,1675.0182127018286,0.0,88000.0
Autumn,4949,2.712316541729304,1.0,1.0,1680.6849728429222,40.99615802539211,0.0,1494.0
Rabi,66987,2.0069701399489905,0.8976059994231324,1.0,15.880764523823224,3.985067693756685,0.0,108.44028950542823
Summer,14841,2.8047696898545498,1.55,1.0,33.045183565010625,5.748494025830646,0.0,235.0
Winter,6058,6.109729432894251,1.2180719091673675,1.0,247.94427196636548,15.746246281776665,0.0,111.2
